model,subgroup_variable,subgroup,n,outcome_rate,auc,accuracy,sensitivity,specificity,false_positive_rate,false_negative_rate,precision,f1,brier_score,calibration_slope,calibration_intercept,calibration_error,warning
random_forest,race_ethnicity,Non-Hispanic Black,345,0.16231884057971013,0.8117894216510133,0.7391304347826086,0.6607142857142857,0.754325259515571,0.24567474048442905,0.3392857142857143,0.3425925925925926,0.45121951219512196,0.15559540162060662,1.2213992312265547,-1.2716227511292026,1.4930219823557573,
random_forest,race_ethnicity,Non-Hispanic White,518,0.14864864864864866,0.8411814942427187,0.7625482625482626,0.8181818181818182,0.7528344671201814,0.2471655328798186,0.18181818181818182,0.36627906976744184,0.5060240963855422,0.1573785291667714,1.2730941370852025,-1.5519044635152144,1.8249986006004169,
random_forest,race_ethnicity,Other Hispanic,132,0.15151515151515152,0.8558035714285714,0.7878787878787878,0.65,0.8125,0.1875,0.35,0.38235294117647056,0.48148148148148157,0.1277536365772267,1.3028486336741332,-1.0897121823737164,1.3925608160478495,
random_forest,race_ethnicity,Other/Multi-racial,68,0.10294117647058823,0.8852459016393442,0.8676470588235294,0.5714285714285714,0.9016393442622951,0.09836065573770492,0.42857142857142855,0.4,0.47058823529411764,0.10972510812016398,1.1823109993585408,-1.4952843738664698,1.6775953732250106,
xgboost,age_group,18-39,503,0.011928429423459244,0.7287055667337357,0.9880715705765407,0.0,1.0,0.0,1.0,0.0,0.0,0.011684385128319263,0.9587708753931272,-0.6988802851123836,0.7401094097192564,
xgboost,age_group,40-59,411,0.1411192214111922,0.7659226335840579,0.8588807785888077,0.034482758620689655,0.9943342776203966,0.0056657223796034,0.9655172413793104,0.5,0.06451612903225806,0.10625515133142471,1.214515023728765,0.41377156257169906,0.6282865863004641,
xgboost,age_group,60+,549,0.28233151183970856,0.7309644670050761,0.7340619307832422,0.2709677419354839,0.916243654822335,0.08375634517766498,0.7290322580645161,0.56,0.3652173913043478,0.17774342000484467,0.9442480127908561,-0.0951642506716807,0.1509162378808246,
xgboost,sex,Female,749,0.13618157543391188,0.8188244385853259,0.8598130841121495,0.09803921568627451,0.9799072642967542,0.02009273570324575,0.9019607843137255,0.43478260869565216,0.16,0.09916051477193832,0.9477280014800992,-0.06003445200834993,0.11230645052825075,
xgboost,sex,Male,714,0.1638655462184874,0.8635914615814113,0.8529411764705882,0.2905982905982906,0.9631490787269682,0.03685092127303183,0.7094017094017094,0.6071428571428571,0.393063583815029,0.1020420640707016,1.1732425912703104,0.06927375863260248,0.24251634990291288,
xgboost,education,9th-11th grade,161,0.19875776397515527,0.8036579457364341,0.8198757763975155,0.15625,0.9844961240310077,0.015503875968992248,0.84375,0.7142857142857143,0.25641025641025644,0.13474005460739136,0.9577855811361693,0.28028698744082975,0.32250140630466045,
xgboost,education,College graduate,343,0.11661807580174927,0.8614686468646865,0.8979591836734694,0.2,0.9900990099009901,0.009900990099009901,0.8,0.7272727272727273,0.3137254901960785,0.07531581819057465,1.3049997649496057,0.17141600905289694,0.4764157740025026,
xgboost,education,High school/GED,325,0.15384615384615385,0.8188363636363636,0.8492307692307692,0.22,0.9636363636363636,0.03636363636363636,0.78,0.5238095238095238,0.3098591549295775,0.10545196384191513,0.9529878106802966,-0.17628240748052637,0.22329459680022978,
